   t |  uy[mm] | fy[N] 
  3.00000000e-09   0.00000000e+00   0.00000000e+00
  6.00000000e-09   0.00000000e+00   0.00000000e+00
  9.00000000e-09   0.00000000e+00   0.00000000e+00
  1.20000000e-08   0.00000000e+00   0.00000000e+00
  1.50000000e-08   0.00000000e+00   0.00000000e+00
  1.80000000e-08   0.00000000e+00   0.00000000e+00
  2.10000000e-08   0.00000000e+00   0.00000000e+00
  2.40000000e-08   0.00000000e+00   0.00000000e+00
  2.70000000e-08   0.00000000e+00   0.00000000e+00
  3.00000000e-08   0.00000000e+00   0.00000000e+00
  3.30000000e-08   0.00000000e+00   0.00000000e+00
  3.60000000e-08   0.00000000e+00   0.00000000e+00
  3.90000000e-08   0.00000000e+00   0.00000000e+00
  4.20000000e-08   0.00000000e+00   0.00000000e+00
  4.50000000e-08   0.00000000e+00   0.00000000e+00
  4.80000000e-08   0.00000000e+00   0.00000000e+00
  5.10000000e-08   0.00000000e+00   0.00000000e+00
  5.40000000e-08   0.00000000e+00   0.00000000e+00
  5.70000000e-08   0.00000000e+00   0.00000000e+00
  6.00000000e-08   0.00000000e+00   0.00000000e+00
  6.30000000e-08   0.00000000e+00  -6.24779742e-73
  6.60000000e-08   7.06053204e-84  -2.62460591e-71
  6.90000000e-08   3.10705041e-82  -5.63784979e-70
  7.20000000e-08   6.98478139e-81  -8.25359437e-69
  7.50000000e-08   1.06913183e-79  -9.26052691e-68
  7.80000000e-08   1.25308022e-78  -8.49086859e-67
  8.10000000e-08   1.19913776e-77  -6.62454384e-66
  8.40000000e-08   9.75613609e-77  -4.52188712e-65
  8.70000000e-08   6.93888636e-76  -2.75574899e-64
  9.00000000e-08   4.40263830e-75  -1.52265118e-63
  9.30000000e-08   2.53071737e-74  -7.72051203e-63
  9.60000000e-08   1.33394174e-73  -3.62739185e-62
  9.90000000e-08   6.51060157e-73  -1.59186621e-61
  1.02000000e-07   2.96597669e-72  -6.56855226e-61
  1.05000000e-07   1.26962032e-71  -2.56286586e-60
  1.08000000e-07   5.13559902e-71  -9.50090929e-60
  1.11000000e-07   1.97250681e-70  -3.36042543e-59
  1.14000000e-07   7.22389631e-70  -1.13812190e-58
  1.17000000e-07   2.53182721e-69  -3.70282720e-58
  1.20000000e-07   8.51920198e-69  -1.16052245e-57
  1.23000000e-07   2.75993595e-68  -3.51269061e-57
  1.26000000e-07   8.63043097e-68  -1.02912689e-56
  1.29000000e-07   2.61085534e-67  -2.92428009e-56
  1.32000000e-07   7.65658419e-67  -8.07390598e-56
  1.35000000e-07   2.18066706e-66  -2.16961745e-55
  1.38000000e-07   6.04187844e-66  -5.68294116e-55
  1.41000000e-07   1.63096492e-65  -1.45295753e-54
  1.44000000e-07   4.29548512e-65  -3.63054473e-54
  1.47000000e-07   1.10517128e-64  -8.87635893e-54
  1.50000000e-07   2.78103892e-64  -2.12572833e-53
  1.53000000e-07   6.85196815e-64  -4.99138309e-53
  1.56000000e-07   1.65458710e-63  -1.15019913e-52
  1.59000000e-07   3.91952435e-63  -2.60336113e-52
  1.62000000e-07   9.11635586e-63  -5.79228029e-52
  1.65000000e-07   2.08354156e-62  -1.26776775e-51
  1.68000000e-07   4.68275468e-62  -2.73152275e-51
  1.71000000e-07   1.03567380e-61  -5.79729847e-51
  1.74000000e-07   2.25554491e-61  -1.21273333e-50
  1.77000000e-07   4.84009257e-61  -2.50190464e-50
  1.80000000e-07   1.02395316e-60  -5.09300557e-50
  1.83000000e-07   2.13681224e-60  -1.02351470e-49
  1.86000000e-07   4.40082773e-60  -2.03159252e-49
  1.89000000e-07   8.94938837e-60  -3.98470523e-49
  1.92000000e-07   1.79779802e-59  -7.72603498e-49
  1.95000000e-07   3.56914160e-59  -1.48146681e-48
  1.98000000e-07   7.00549429e-59  -2.81039066e-48
  2.01000000e-07   1.35998282e-58  -5.27639348e-48
  2.04000000e-07   2.61220093e-58  -9.80734916e-48
  2.07000000e-07   4.96602757e-58  -1.80530654e-47
  2.10000000e-07   9.34726269e-58  -3.29207033e-47
  2.13000000e-07   1.74248463e-57  -5.94885826e-47
  2.16000000e-07   3.21804814e-57  -1.06553081e-46
  2.19000000e-07   5.88950746e-57  -1.89226578e-46
  2.22000000e-07   1.06843067e-56  -3.33267191e-46
  2.25000000e-07   1.92179628e-56  -5.82241138e-46
  2.28000000e-07   3.42822770e-56  -1.00928552e-45
  2.31000000e-07   6.06647229e-56  -1.73629122e-45
  2.34000000e-07   1.06513709e-55  -2.96497383e-45
  2.37000000e-07   1.85597373e-55  -5.02686739e-45
  2.40000000e-07   3.21015129e-55  -8.46324841e-45
  2.43000000e-07   5.51255761e-55  -1.41521099e-44
  2.46000000e-07   9.40021583e-55  -2.35086563e-44
  2.49000000e-07   1.59205951e-54  -3.88000151e-44
  2.52000000e-07   2.67851542e-54  -6.36363811e-44
  2.55000000e-07   4.47729789e-54  -1.03733201e-43
  2.58000000e-07   7.43696247e-54  -1.68087497e-43
  2.61000000e-07   1.22772483e-53  -2.70783653e-43
  2.64000000e-07   2.01464200e-53  -4.33751098e-43
  2.67000000e-07   3.28661808e-53  -6.90954240e-43
  2.70000000e-07   5.33108897e-53  -1.09472700e-42
  2.73000000e-07   8.59917106e-53  -1.72530334e-42
  2.76000000e-07   1.37951924e-52  -2.70508849e-42
  2.79000000e-07   2.20132423e-52  -4.21993062e-42
  2.82000000e-07   3.49444349e-52  -6.55068369e-42
  2.85000000e-07   5.51900330e-52  -1.01198344e-41
  2.88000000e-07   8.67323395e-52  -1.55600865e-41
  2.91000000e-07   1.35639678e-51  -2.38148172e-41
  2.94000000e-07   2.11117221e-51  -3.62846126e-41
  2.97000000e-07   3.27066625e-51  -5.50401573e-41
  3.00000000e-07   5.04391151e-51  -8.31303053e-41
  3.03000000e-07   7.74388654e-51  -1.25026169e-40
  3.06000000e-07   1.18372580e-50  -1.87258865e-40
  3.09000000e-07   1.80170179e-50  -2.79331976e-40
  3.12000000e-07   2.73081466e-50  -4.15022345e-40
  3.15000000e-07   4.12207373e-50  -6.14227897e-40
  3.18000000e-07   6.19710830e-50  -9.05583400e-40
  3.21000000e-07   9.27997353e-50  -1.33015072e-39
  3.24000000e-07   1.38427447e-49  -1.94660754e-39
  3.27000000e-07   2.05706505e-49  -2.83851922e-39
  3.30000000e-07   3.04548001e-49  -4.12449728e-39
  3.33000000e-07   4.49237568e-49  -5.97234584e-39
  3.36000000e-07   6.60296146e-49  -8.61870068e-39
  3.39000000e-07   9.67103147e-49  -1.23962110e-38
  3.42000000e-07   1.41158268e-48  -1.77710491e-38
  3.45000000e-07   2.05336763e-48  -2.53945201e-38
  3.48000000e-07   2.97701204e-48  -3.61738710e-38
  3.51000000e-07   4.30203427e-48  -5.13691646e-38
  3.54000000e-07   6.19686082e-48  -7.27254502e-38
  3.57000000e-07   8.89813030e-48  -1.02652601e-37
  3.60000000e-07   1.27373421e-47  -1.44469355e-37
  3.63000000e-07   1.81775425e-47  -2.02733620e-37
  3.66000000e-07   2.58636905e-47  -2.83688375e-37
  3.69000000e-07   3.66916188e-47  -3.95862111e-37
  3.72000000e-07   5.19022075e-47  -5.50875359e-37
  3.75000000e-07   7.32096526e-47  -7.64521384e-37
  3.78000000e-07   1.02975730e-46  -1.05821079e-36
  3.81000000e-07   1.44445954e-46  -1.46089795e-36
  3.84000000e-07   2.02068823e-46  -2.01164415e-36
  3.87000000e-07   2.81926342e-46  -2.76301986e-36
  3.90000000e-07   3.92313222e-46  -3.78561090e-36
  3.93000000e-07   5.44514267e-46  -5.17397343e-36
  3.96000000e-07   7.53845357e-46  -7.05448630e-36
  3.99000000e-07   1.04104425e-45  -9.59568336e-36
  4.02000000e-07   1.43412456e-45  -1.30218201e-35
  4.05000000e-07   1.97084178e-45  -1.76306500e-35
  4.08000000e-07   2.70196627e-45  -2.38166698e-35
  4.11000000e-07   3.69561786e-45  -3.21014541e-35
  4.14000000e-07   5.04299470e-45  -4.31731639e-35
  4.17000000e-07   6.86592865e-45  -5.79379026e-35
  4.20000000e-07   9.32682968e-45  -7.75863432e-35
  4.23000000e-07   1.26417481e-44  -1.03680006e-34
  4.26000000e-07   1.70974985e-44  -1.38262771e-34
  4.29000000e-07   2.30740639e-44  -1.84004744e-34
  4.32000000e-07   3.10738529e-44  -2.44387524e-34
  4.35000000e-07   4.17598332e-44  -3.23942362e-34
  4.38000000e-07   5.60051410e-44  -4.28555768e-34
  4.41000000e-07   7.49575025e-44  -5.65861006e-34
  4.44000000e-07   1.00122737e-43  -7.45738716e-34
  4.47000000e-07   1.33472801e-43  -9.80956057e-34
  4.50000000e-07   1.77585336e-43  -1.28798129e-33
  4.53000000e-07   2.35823599e-43  -1.68802032e-33
  4.56000000e-07   3.12568056e-43  -2.20833340e-33
  4.59000000e-07   4.13513977e-43  -2.88390534e-33
  4.62000000e-07   5.46053185e-43  -3.75956041e-33
  4.65000000e-07   7.19762983e-43  -4.89263648e-33
  4.68000000e-07   9.47031295e-43  -6.35636107e-33
  4.71000000e-07   1.24385472e-42  -8.24410684e-33
  4.74000000e-07   1.63085568e-42  -1.06747480e-32
  4.77000000e-07   2.13457686e-42  -1.37993923e-32
  4.80000000e-07   2.78912587e-42  -1.78098292e-32
  4.83000000e-07   3.63826181e-42  -2.29491180e-32
  4.86000000e-07   4.73803856e-42  -2.95248368e-32
  4.89000000e-07   6.16014813e-42  -3.79256401e-32
  4.92000000e-07   7.99614358e-42  -4.86419213e-32
  4.95000000e-07   1.03627650e-41  -6.22915637e-32
  4.98000000e-07   1.34086471e-41  -7.96519891e-32
  5.01000000e-07   1.73227553e-41  -1.01699991e-31
  5.04000000e-07   2.23449803e-41  -1.29661180e-31
  5.07000000e-07   2.87794254e-41  -1.65071280e-31
  5.10000000e-07   3.70110491e-41  -2.09852016e-31
  5.13000000e-07   4.75264809e-41  -2.66404956e-31
  5.16000000e-07   6.09400236e-41  -3.37727400e-31
  5.19000000e-07   7.80260908e-41  -4.27555328e-31
  5.22000000e-07   9.97596204e-41  -5.40539498e-31
  5.25000000e-07   1.27366362e-40  -6.82462140e-31
  5.28000000e-07   1.62385370e-40  -8.60503270e-31
  5.31000000e-07   2.06746567e-40  -1.08356760e-30
  5.34000000e-07   2.62866897e-40  -1.36268538e-30
  5.37000000e-07   3.33769377e-40  -1.71150334e-30
  5.40000000e-07   4.23230322e-40  -2.14688521e-30
  5.43000000e-07   5.35961185e-40  -2.68964561e-30
  5.46000000e-07   6.77832914e-40  -3.36544582e-30
  5.49000000e-07   8.56152402e-40  -4.20588591e-30
  5.52000000e-07   1.08000278e-39  -5.24983492e-30
  5.55000000e-07   1.36066179e-39  -6.54504928e-30
  5.58000000e-07   1.71211557e-39  -8.15013959e-30
  5.61000000e-07   2.15168893e-39  -1.01369586e-29
  5.64000000e-07   2.70081768e-39  -1.25934972e-29
  5.67000000e-07   3.38599399e-39  -1.56273933e-29
  5.70000000e-07   4.23992229e-39  -1.93701785e-29
  5.73000000e-07   5.30293106e-39  -2.39824131e-29
  5.76000000e-07   6.62469551e-39  -2.96598886e-29
  5.79000000e-07   8.26633716e-39  -3.66411126e-29
  5.82000000e-07   1.03029804e-38  -4.52163317e-29
