   t |  uy[mm] | fy[N] 
  0.00000000e+00   1.00000000e-02   2.57295753e+01
  0.00000000e+00   2.00000000e-02   5.14591515e+01
  0.00000000e+00   3.00000000e-02   7.71887275e+01
  0.00000000e+00   4.00000000e-02   1.02918303e+02
  0.00000000e+00   5.00000000e-02   1.28647880e+02
  0.00000000e+00   6.00000000e-02   1.54377456e+02
  0.00000000e+00   7.00000000e-02   1.80107032e+02
  0.00000000e+00   8.00000000e-02   2.05836608e+02
  0.00000000e+00   9.00000000e-02   2.31566184e+02
  0.00000000e+00   1.00000000e-01   2.57295760e+02
  0.00000000e+00   1.10000000e-01   2.83025336e+02
  0.00000000e+00   1.20000000e-01   3.08754912e+02
  0.00000000e+00   1.30000000e-01   3.34484488e+02
  0.00000000e+00   1.40000000e-01   3.60214064e+02
  0.00000000e+00   1.50000000e-01   3.85943637e+02
  0.00000000e+00   1.60000000e-01   4.11673209e+02
  0.00000000e+00   1.70000000e-01   4.37402777e+02
  0.00000000e+00   1.80000000e-01   4.63132325e+02
  0.00000000e+00   1.90000000e-01   4.88861868e+02
  0.00000000e+00   2.00000000e-01   5.14591387e+02
  0.00000000e+00   2.10000000e-01   5.40320888e+02
  0.00000000e+00   2.20000000e-01   5.66050357e+02
  0.00000000e+00   2.30000000e-01   5.91779766e+02
  0.00000000e+00   2.40000000e-01   6.17509121e+02
  0.00000000e+00   2.50000000e-01   6.43238396e+02
  0.00000000e+00   2.60000000e-01   6.68967533e+02
  0.00000000e+00   2.70000000e-01   6.94696542e+02
  0.00000000e+00   2.80000000e-01   7.20425394e+02
  0.00000000e+00   2.90000000e-01   7.46153869e+02
  0.00000000e+00   3.00000000e-01   7.71882006e+02
  0.00000000e+00   3.10000000e-01   7.97609612e+02
  0.00000000e+00   3.20000000e-01   8.23336486e+02
  0.00000000e+00   3.30000000e-01   8.49062285e+02
  0.00000000e+00   3.40000000e-01   8.74786359e+02
  0.00000000e+00   3.50000000e-01   9.00507790e+02
  3.00000000e-09   3.50000000e-01   9.00507781e+02
  6.00000000e-09   3.50000000e-01   9.00507781e+02
  9.00000000e-09   3.50000000e-01   9.00507782e+02
  1.20000000e-08   3.50000000e-01   9.00507782e+02
  1.50000000e-08   3.50000000e-01   9.00507782e+02
  1.80000000e-08   3.50000000e-01   9.00507783e+02
  2.10000000e-08   3.50000000e-01   9.00507783e+02
  2.40000000e-08   3.50000000e-01   9.00507783e+02
  2.70000000e-08   3.50000000e-01   9.00507784e+02
  3.00000000e-08   3.50000000e-01   9.00507784e+02
  3.30000000e-08   3.50000000e-01   9.00507784e+02
  3.60000000e-08   3.50000000e-01   9.00507785e+02
  3.90000000e-08   3.50000000e-01   9.00507785e+02
  4.20000000e-08   3.50000000e-01   9.00507785e+02
  4.50000000e-08   3.50000000e-01   9.00507786e+02
  4.80000000e-08   3.50000000e-01   9.00507786e+02
  5.10000000e-08   3.50000000e-01   9.00507786e+02
