   t |  uy[mm] | fy[N] 
  0.00000000e+00   9.50000000e-02   1.16460605e+03
  0.00000000e+00   1.90000000e-01   2.32921211e+03
  2.00000000e-08   1.90000000e-01   2.32921208e+03
  4.00000000e-08   1.90000000e-01   2.32921208e+03
  6.00000000e-08   1.90000000e-01   2.32921208e+03
  8.00000000e-08   1.90000000e-01   2.32921208e+03
  1.00000000e-07   1.90000000e-01   2.32921208e+03
  1.20000000e-07   1.90000000e-01   2.32921208e+03
  1.40000000e-07   1.90000000e-01   2.32921208e+03
  1.60000000e-07   1.90000000e-01   2.32921208e+03
  1.80000000e-07   1.90000000e-01   2.32921208e+03
  2.00000000e-07   1.90000000e-01   2.32921208e+03
  2.20000000e-07   1.90000000e-01   2.32921208e+03
  2.40000000e-07   1.90000000e-01   2.32921208e+03
  2.60000000e-07   1.90000000e-01   2.32921208e+03
  2.80000000e-07   1.90000000e-01   2.32921208e+03
  3.00000000e-07   1.90000000e-01   2.32921208e+03
  3.20000000e-07   1.90000000e-01   2.32921208e+03
  3.40000000e-07   1.90000000e-01   2.32921208e+03
  3.60000000e-07   1.90000000e-01   2.32921208e+03
  3.80000000e-07   1.90000000e-01   2.32921208e+03
  4.00000000e-07   1.90000000e-01   2.32921208e+03
  4.20000000e-07   1.90000000e-01   2.32921208e+03
  4.40000000e-07   1.90000000e-01   2.32921208e+03
  4.60000000e-07   1.90000000e-01   2.32921208e+03
  4.80000000e-07   1.90000000e-01   2.32921208e+03
  5.00000000e-07   1.90000000e-01   2.32921208e+03
  5.20000000e-07   1.90000000e-01   2.32921208e+03
  5.40000000e-07   1.90000000e-01   2.32921208e+03
  5.60000000e-07   1.90000000e-01   2.32921208e+03
  5.80000000e-07   1.90000000e-01   2.32921208e+03
  6.00000000e-07   1.90000000e-01   2.32921208e+03
  6.20000000e-07   1.90000000e-01   2.32921208e+03
  6.40000000e-07   1.90000000e-01   2.32921208e+03
  6.60000000e-07   1.90000000e-01   2.32921208e+03
  6.80000000e-07   1.90000000e-01   2.32921208e+03
  7.00000000e-07   1.90000000e-01   2.32921208e+03
  7.20000000e-07   1.90000000e-01   2.32921208e+03
  7.40000000e-07   1.90000000e-01   2.32921208e+03
  7.60000000e-07   1.90000000e-01   2.32921208e+03
  7.80000000e-07   1.90000000e-01   2.32921208e+03
  8.00000000e-07   1.90000000e-01   2.32921208e+03
  8.20000000e-07   1.90000000e-01   2.32921208e+03
  8.40000000e-07   1.90000000e-01   2.32921208e+03
  8.60000000e-07   1.90000000e-01   2.32921208e+03
  8.80000000e-07   1.90000000e-01   2.32921208e+03
  9.00000000e-07   1.90000000e-01   2.32921208e+03
  9.20000000e-07   1.90000000e-01   2.32921208e+03
  9.40000000e-07   1.90000000e-01   2.32921208e+03
  9.60000000e-07   1.90000000e-01   2.32921208e+03
  9.80000000e-07   1.90000000e-01   2.32921208e+03
  1.00000000e-06   1.90000000e-01   2.32921208e+03
  1.02000000e-06   1.90000000e-01   2.32921208e+03
  1.04000000e-06   1.90000000e-01   2.32921208e+03
  1.06000000e-06   1.90000000e-01   2.32921208e+03
