   t |  uy[mm] | fy[N] 
  0.00000000e+00   1.00000000e-02   1.16922891e+02
  0.00000000e+00   2.00000000e-02   2.33845774e+02
  0.00000000e+00   3.00000000e-02   3.50768658e+02
  0.00000000e+00   4.00000000e-02   4.67691544e+02
  0.00000000e+00   5.00000000e-02   5.84614437e+02
  0.00000000e+00   6.00000000e-02   7.01537331e+02
  5.00000000e-09   6.00000000e-02   7.01537331e+02
  1.00000000e-08   6.00000000e-02   7.01537331e+02
  1.50000000e-08   6.00000000e-02   7.01537331e+02
  2.00000000e-08   6.00000000e-02   7.01537331e+02
  2.50000000e-08   6.00000000e-02   7.01537332e+02
  3.00000000e-08   6.00000000e-02   7.01537332e+02
  3.50000000e-08   6.00000000e-02   7.01537332e+02
  4.00000000e-08   6.00000000e-02   7.01537332e+02
  4.50000000e-08   6.00000000e-02   7.01537332e+02
  5.00000000e-08   6.00000000e-02   7.01537332e+02
  5.50000000e-08   6.00000000e-02   7.01537332e+02
  6.00000000e-08   6.00000000e-02   7.01537332e+02
  6.50000000e-08   6.00000000e-02   7.01537332e+02
  7.00000000e-08   6.00000000e-02   7.01537332e+02
  7.50000000e-08   6.00000000e-02   7.01537332e+02
  8.00000000e-08   6.00000000e-02   7.01537332e+02
  8.50000000e-08   6.00000000e-02   7.01537332e+02
  9.00000000e-08   6.00000000e-02   7.01537332e+02
  9.50000000e-08   6.00000000e-02   7.01537332e+02
  1.00000000e-07   6.00000000e-02   7.01537332e+02
  1.05000000e-07   6.00000000e-02   7.01537332e+02
  1.10000000e-07   6.00000000e-02   7.01537332e+02
  1.15000000e-07   6.00000000e-02   7.01537332e+02
  1.20000000e-07   6.00000000e-02   7.01537332e+02
  1.25000000e-07   6.00000000e-02   7.01537332e+02
  1.30000000e-07   6.00000000e-02   7.01537332e+02
  1.35000000e-07   6.00000000e-02   7.01537332e+02
  1.40000000e-07   6.00000000e-02   7.01537332e+02
  1.45000000e-07   6.00000000e-02   7.01537332e+02
  1.50000000e-07   6.00000000e-02   7.01537332e+02
  1.55000000e-07   6.00000000e-02   7.01537332e+02
  1.60000000e-07   6.00000000e-02   7.01537332e+02
  1.65000000e-07   6.00000000e-02   7.01537332e+02
  1.70000000e-07   6.00000000e-02   7.01537332e+02
  1.75000000e-07   6.00000000e-02   7.01537332e+02
  1.80000000e-07   6.00000000e-02   7.01537332e+02
  1.85000000e-07   6.00000000e-02   7.01537332e+02
  1.90000000e-07   6.00000000e-02   7.01537332e+02
  1.95000000e-07   6.00000000e-02   7.01537332e+02
  2.00000000e-07   6.00000000e-02   7.01537332e+02
  2.05000000e-07   6.00000000e-02   7.01537332e+02
  2.10000000e-07   6.00000000e-02   7.01537332e+02
  2.15000000e-07   6.00000000e-02   7.01537332e+02
  2.20000000e-07   6.00000000e-02   7.01537332e+02
  2.25000000e-07   6.00000000e-02   7.01537332e+02
  2.30000000e-07   6.00000000e-02   7.01537332e+02
  2.35000000e-07   6.00000000e-02   7.01537332e+02
  2.40000000e-07   6.00000000e-02   7.01537332e+02
  2.45000000e-07   6.00000000e-02   7.01537332e+02
  2.50000000e-07   6.00000000e-02   7.01537332e+02
